top - 15:01:40 up  1:26,  1 user,  load average: 0,66, 0,92, 0,83
Tareas: 216 total,   1 ejecutar,  215 hibernar,    0 detener,    0 zombie
%Cpu(s):  7,8 us,  3,9 sy,  0,0 ni, 82,4 id,  5,9 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   1963,8 total,    157,5 libre,   1223,7 usado,    582,6 búfer/caché
MiB Intercambio:   1162,4 total,    481,1 libre,    681,3 usado.    532,6 dispon

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
    526 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 spl_del+
    527 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 spl_dyn+
    528 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 spl_kme+
    529 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 zvol
    530 root      20   0       0      0      0 S   0,0   0,0   0:00.00 arc_pru+
    531 root      20   0       0      0      0 S   0,0   0,0   0:00.00 arc_evi+
    532 root      39  19       0      0      0 S   0,0   0,0   0:00.15 arc_reap
    533 root      20   0       0      0      0 S   0,0   0,0   0:00.00 dbu_evi+
    534 root      39  19       0      0      0 S   0,0   0,0   0:00.14 dbuf_ev+
    535 root      39  19       0      0      0 S   0,0   0,0   0:00.00 z_vdev_+
    536 root      20   0       0      0      0 S   0,0   0,0   0:00.15 l2arc_f+
    569 systemd+  20   0   26192   5188   3828 S   0,0   0,3   0:01.32 systemd+
    570 systemd+  20   0   89520   3296   2860 S   0,0   0,2   0:00.48 systemd+
    585 root      20   0  242828   5860   5332 S   0,0   0,3   0:00.38 account+
    586 root      20   0    2816   1116   1032 S   0,0   0,1   0:00.17 acpid
    588 avahi     20   0    7628   2904   2576 S   0,0   0,1   0:00.16 avahi-d+
    590 root      20   0   12112   2700   2476 S   0,0   0,1   0:00.02 cron
    591 message+  20   0   10012   4592   3020 S   0,0   0,2   0:01.19 dbus-da+
    592 root      20   0  264204   8252   6768 S   0,0   0,4   0:00.80 Network+
    600 root      20   0   82700   3644   3316 S   0,0   0,2   0:00.37 irqbala+
    610 root      20   0   43636   8536   5812 S   0,0   0,4   0:00.39 network+
    615 root      20   0  237124   6268   4624 S   0,0   0,3   0:00.51 polkitd
    624 syslog    20   0  222404   3488   2960 S   0,0   0,2   0:00.12 rsyslogd
    629 root      20   0  239136   4728   4352 S   0,0   0,2   0:00.07 switche+
    634 root      20   0   23624   4656   3712 S   0,0   0,2   0:00.35 systemd+
    641 root      20   0  184672   8888   7892 S   0,0   0,4   0:03.44 touchegg
    648 root      20   0  392888   6384   5232 S   0,0   0,3   0:00.21 udisksd
    649 root      20   0   16504   2684   2268 S   0,0   0,1   0:00.05 wpa_sup+
    654 root      20   0  101288   2616   2212 S   0,0   0,1   0:00.01 zed
    688 avahi     20   0    7444    268      0 S   0,0   0,0   0:00.00 avahi-d+
    712 root      20   0  317960   5952   5024 S   0,0   0,3   0:00.32 ModemMa+
    736 root      20   0   75260   6496   5560 S   0,0   0,3   0:00.07 cupsd
    744 root      20   0  306748   4716   4716 S   0,0   0,2   0:00.05 lightdm
    770 root      20   0  433700  95316  48544 S   0,0   4,7   1:13.41 Xorg
    772 root      20   0   11392   1040    952 S   0,0   0,1   0:00.00 agetty
    788 root      20   0  172060   6152   5392 S   0,0   0,3   0:00.09 cups-br+
    791 kernoops  20   0   13092   2036   1880 S   0,0   0,1   0:00.17 kernelo+
    796 kernoops  20   0   13092   2304   1968 S   0,0   0,1   0:00.13 kernelo+
    889 root      20   0  164588   4452   4452 S   0,0   0,2   0:00.03 lightdm
    894 yamila    20   0   17308   6972   5176 S   0,0   0,3   0:00.43 systemd
    895 yamila    20   0  171488   1344      0 S   0,0   0,1   0:00.00 (sd-pam)
    902 yamila     9 -11   41904   3716   3156 S   0,0   0,2   0:00.05 pipewire
    903 yamila     9 -11 1166296  11616   7380 S   0,0   0,6   0:00.54 pulseau+
    904 yamila    20   0  404452   9000   8200 S   0,0   0,4   0:00.43 cinnamo+
    910 rtkit     21   1  154004   1268   1048 S   0,0   0,1   0:00.11 rtkit-d+
    914 yamila    20   0    9404   4396   3168 S   0,0   0,2   0:00.87 dbus-da+
    976 yamila    20   0  243472   6080   5476 S   0,0   0,3   0:00.12 gvfsd
    981 yamila    20   0  380896   4244   4080 S   0,0   0,2   0:00.03 gvfsd-f+
   1133 yamila    20   0  243896   3964   3692 S   0,0   0,2   0:00.10 gnome-k+
   1141 yamila    20   0  230520   4084   3940 S   0,0   0,2   0:00.02 csd-scr+
   1145 yamila    20   0  231064   3984   3932 S   0,0   0,2   0:00.02 csd-set+
   1147 yamila    20   0  606472  14204  13500 S   0,0   0,7   0:00.58 csd-col+
   1150 yamila    20   0  457420  14080  13308 S   0,0   0,7   0:00.64 csd-wac+
   1151 yamila    20   0  232064   4156   4028 S   0,0   0,2   0:00.02 csd-a11+
   1156 yamila    20   0  770676  18780  16592 S   0,0   0,9   0:01.25 csd-pow+
   1159 yamila    20   0  490752  14496  13784 S   0,0   0,7   0:00.65 csd-bac+
   1161 yamila    20   0  457216  14320  13176 S   0,0   0,7   0:00.75 csd-hou+
   1162 yamila    20   0  458556  14192  13272 S   0,0   0,7   0:00.68 csd-xse+
   1163 yamila    20   0  244088   5600   5316 S   0,0   0,3   0:00.04 csd-pri+
   1164 yamila    20   0  944560  15024  13896 S   0,0   0,7   0:00.67 csd-med+
   1166 yamila    20   0  457352  14680  13400 S   0,0   0,7   0:01.05 csd-key+
   1168 yamila    20   0  309796   5620   5396 S   0,0   0,3   0:00.02 at-spi-+
   1169 yamila    20   0  531152  14884  13784 S   0,0   0,7   0:00.58 csd-aut+
   1171 yamila    20   0  383020  13940  13248 S   0,0   0,7   0:00.53 csd-cli+
   1176 yamila    20   0  157096   4728   4156 S   0,0   0,2   0:00.06 dconf-s+
   1185 yamila    20   0    8564   3356   3144 S   0,0   0,2   0:00.24 dbus-da+
   1188 yamila    20   0  345168   8364   8364 S   0,0   0,4   0:00.04 csd-pri+
   1206 yamila    20   0  162856   5832   5672 S   0,0   0,3   0:00.55 at-spi2+
   1209 colord    20   0  248240   7208   5332 S   0,0   0,4   0:00.33 colord
   1226 root      20   0  245244   5420   4672 S   0,0   0,3   0:00.31 upowerd
   1237 yamila    20   0  318996   5480   4652 S   0,0   0,3   0:00.04 gvfs-ud+
   1245 yamila    20   0  239256   5116   4632 S   0,0   0,3   0:00.02 gvfs-mt+
   1249 yamila    20   0  318036   5388   4728 S   0,0   0,3   0:00.35 gvfs-af+
   1260 yamila    20   0  239460   5080   4700 S   0,0   0,3   0:00.02 gvfs-go+
   1265 yamila    20   0  590792   9676   9252 S   0,0   0,5   0:00.15 goa-dae+
   1269 yamila    20   0  468216  15188  11180 S   0,0   0,8   0:01.48 cinnamo+
   1277 yamila    20   0  341340   9036   8072 S   0,0   0,4   0:00.04 goa-ide+
   1285 yamila    20   0  240212   5256   4732 S   0,0   0,3   0:00.02 gvfs-gp+
   1314 yamila    20   0  304388   9908   9144 S   0,0   0,5   0:00.41 xapp-sn+
   1328 yamila    20   0  754404  12572  12128 S   0,0   0,6   0:00.63 evoluti+
   1329 yamila    20   0  239908   3624   3624 S   0,0   0,2   0:00.01 agent
   1341 yamila    20   0  565220  13948  12212 S   0,0   0,7   0:00.93 nm-appl+
   1342 yamila    20   0  416836  12968  11352 S   0,0   0,6   0:01.36 blueman+
   1343 yamila    20   0  317452  10384   9896 S   0,0   0,5   0:00.45 cinnamo+
   1348 yamila    20   0  230148  10368   9752 S   0,0   0,5   0:00.32 polkit-+
   1380 yamila    20   0 1075388  12268  10292 S   0,0   0,6   0:00.20 evoluti+
   1396 yamila    20   0 1122228  11712   9768 S   0,0   0,6   0:00.27 evoluti+
   1413 yamila    20   0  683640   8200   6356 S   0,0   0,4   0:00.13 evoluti+
   1418 yamila    20   0  165856   5172   4672 S   0,0   0,3   0:00.07 gvfsd-m+
   1488 yamila    20   0   46960   3712   3208 S   0,0   0,2   0:00.00 obexd
   1515 yamila    20   0  317696   5268   4232 S   0,0   0,3   0:00.03 gvfsd-t+
   1544 yamila    20   0  764108  22800  16072 S   0,0   1,1   0:02.14 mintUpd+
   1572 yamila    20   0   62844   8560   7780 S   0,0   0,4   0:00.21 applet.+
   1595 yamila    20   0  409652  15504  11872 S   0,0   0,8   0:30.03 mintrep+
   1655 yamila    20   0  405744   7784   6476 S   0,0   0,4   0:00.17 xdg-des+
   1662 yamila    20   0  466220   5588   5068 S   0,0   0,3   0:00.07 xdg-doc+
   1665 yamila    20   0  238908   4096   3772 S   0,0   0,2   0:00.00 xdg-per+
   1671 root      20   0    2796    972    880 S   0,0   0,0   0:00.00 fusermo+
   1676 yamila    20   0  313244   5188   4644 S   0,0   0,3   0:00.01 xdg-des+
   1715 yamila    20   0    2892    792    788 S   0,0   0,0   0:00.00 sh
   1716 yamila    20   0  233296   3924   3816 S   0,0   0,2   0:00.00 pxgsett+
   1720 yamila    20   0  379052  12760  10056 S   0,0   0,6   0:00.36 xdg-des+
   4422 root      20   0       0      0      0 I   0,0   0,0   0:00.22 kworker+
   5017 root      20   0       0      0      0 I   0,0   0,0   0:00.60 kworker+
   5595 yamila    20   0 1134,2g 122808  84736 S   0,0   6,1   0:12.39 code
   5601 yamila    20   0   32,2g  12180  11192 S   0,0   0,6   0:00.02 code
   5602 yamila    20   0   32,2g  14356  11120 S   0,0   0,7   0:00.02 code
   5605 yamila    20   0   32,2g   4360    964 S   0,0   0,2   0:00.00 code
   5624 yamila    20   0   32,0g  12420  10628 S   0,0   0,6   0:00.29 chrome_+
   5640 yamila    20   0   32,5g  67920  65348 S   0,0   3,4   0:12.32 code
   5642 yamila    20   0   32,3g  29828  27324 S   0,0   1,5   0:01.31 code
   5665 yamila    20   0 1134,0g 159364  70288 S   0,0   7,9   0:40.73 code
   5697 yamila    20   0 1134,0g  31752  20364 S   0,0   1,6   0:02.14 code
   5713 yamila    20   0 1134,0g  56248  28916 S   0,0   2,8   0:06.87 code
   5714 yamila    20   0 1134,0g  24116  19244 S   0,0   1,2   0:00.89 code
   5763 yamila    20   0 1134,0g  31784  23832 S   0,0   1,6   0:03.59 code
   5785 yamila    20   0   14096   2500   2300 S   0,0   0,1   0:00.01 bash
   5822 yamila    20   0   14096   3132   2212 S   0,0   0,2   0:00.02 bash
   5986 yamila    20   0   11,1g 374428 169800 S   0,0  18,6   0:58.53 firefox+
   6041 yamila    20   0  212828  30636  22144 S   0,0   1,5   0:00.04 Socket +
   6056 yamila    20   0 2480872 116192  84904 S   0,0   5,8   0:01.16 Privile+
   6113 yamila    20   0 2442036  83068  64268 S   0,0   4,1   0:00.74 WebExte+
   6177 yamila    20   0  355484  42208  31224 S   0,0   2,1   0:00.08 Utility+
   6347 root      20   0       0      0      0 I   0,0   0,0   0:00.10 kworker+
   6405 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   6406 root      20   0       0      0      0 I   0,0   0,0   0:00.24 kworker+
   6429 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   6467 yamila    20   0 3439548 433752 141044 S   0,0  21,6   1:01.74 Isolate+
   6491 yamila    20   0 2408800  46020  34092 S   0,0   2,3   0:00.29 Web Con+
   6519 yamila    20   0  353436  37720  27032 S   0,0   1,9   0:00.06 RDD Pro+
   6546 yamila    20   0 2408800  46740  34764 S   0,0   2,3   0:00.33 Web Con+
   6569 yamila    20   0 2408800  46692  34720 S   0,0   2,3   0:00.25 Web Con+
   6648 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker+
   6670 yamila    20   0  391792   8852   7924 S   0,0   0,4   0:00.02 gvfsd-n+
   6687 yamila    20   0  319652   8756   7796 S   0,0   0,4   0:00.03 gvfsd-d+
   6712 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   6713 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker+
   6720 yamila    20   0  556192  45272  31896 S   0,0   2,3   0:01.18 gnome-t+
   6741 yamila    20   0   14068   5348   3712 S   0,0   0,3   0:00.01 bash
   6772 yamila    20   0   12588   3512   3244 S   0,0   0,2   0:00.00 script.+
